Hotel Name,Hotel Class,Hotel Rating,Hotel Quality,Location,Cleanliness,Service,User Name,Review Title,Review Text,Date of Stay,User Rating,Review Likes,Trip Type,Value,Location,Cleanliness,Service,Rooms,Sleep Quality
Pumberry Hotel,,2.0,Poor,-1,-1,-1,twsnit,Started well,"After turning up after a night shift and a 4 hour drive. Check in was smooth, given key card to the room, small and all looked well. Until I tried to shower before a nap, shower blocked ok these thing happen. I head downstairs to let reception know, the young lad on reception told me it will be sorted ASAP, thank you! After a quick beer in the bar unfortunately only bottles available, that I could of got in the garage next door for the fraction of the price but couldn’t take it to the room. After returning to the room all of my towels had been used to mop the floor and the contents of the blockage of the shower were left in the tray! Hair and scum everywhere.After walking down to reception for the 3rd time this time to get fresh towels. When I finally managed to get a shower I realised the top of the shower door was loaded with the past guests soap and flannel!! Was such a shame great location and a nice room for the price, attention to detail won’t go a miss, again a great shame as we are heading back to seven sisters a lot over the next few months. So any tips on other hotels won’t go Amis",May 2019,2.0,13,Traveled as a couple,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Clare C,Christmas Trip,"Myself and my daughter booked this hotel as it was the best value for our needs. I had no expectations as this was a 1st for me.  We got to the hotel at lunch time where the staff were more than happy to take our luggage whilst we went off sightseeing. We returned later in the evening and decided to eat at the hotel, very nice food. I was very impressed with our twin room, beds slightly too close for my daughter's liking but .... How comfy were those beds. It was amazing. Nice and clean good size towells that actually fit the larger frame. I slept like a log. The shower was good , nice and hot. Breakfast had a good choice of hot and cold items with plenty of tea,coffee and juice. We stayed 2 nights and on the final day we left our luggage again whilst we went to Westfield. Thinking we'd shop all day and just pop back for our bags, however we'd had enough just after lunch. We walked back to the hotel and they very kindly let us stay in the foyer with all our bags for over 3 hours until we got a taxi to catch our coach. A really good experience",December 2019,5.0,32,Traveled with family,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Moo-is-travelling,Exceeded expectations,"I was away for work and just needed a place to sleep, I wasn't expecting much to be honest. I've stayed in these express type hotels before and am usually underwhelmed.  Its actually a great little hotel and exceeded my expectations. The bed was super comfy, there was a spacious bathroom with a powerful shower, and a decent TV with a little chaise lounge / sofa to sprawl on. Free tea and coffee making facilities and a fairly decent room service menu.  Great friendly staff, and a little bar/restaurant downstairs. And spotlessly clean! Very reasonably priced. Cant work out why this is only a three star.  Would stay again.",December 2019,5.0,26,Traveled on business,-1,-1,5.0,5.0,-1,5.0
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,DaveWNorfolk,Excellent!,"Overnight stay for 2 days in London. Chose the location as we would be driving to Epping and getting the tube in and this was conveniently located.We wanted to make the most of our 2 days so I contacted hotel in advance to ask if we arrived early could we store our bag and go out for the day, they said yes but would put a note on system to try and get us an early checkin. When we arrived we were able to check in straight away.My wife is a wheelchair user and the lovely lady on reception came to a lower counter and checked us in and checked all was ok and if we needed anything to ask.We had booked an accessible room which was huge and met my wifes needs perfectly after a quick cuppa we hit London!!Coming back in the evening we stopped in the bar for a couple of drinks which were reasonable priced for a London hotel and the bar was comfy and the staff friendly.The bed in the room was very comfy, it was a cold day and it took me a while to work out the heating even though it had instructions but once on the room warmed up quickly. The allocation of Tea and coffee in the room was a tad stingy but they let you get more which was fine.Did not hear any noise and after a great nights sleep, buffet breakfast was lovely especially the sauasages.Didn't have to check out too early so did not need to rush, took bad to reception to be stored while we hit London again, different staff member on reception but again very friendly.Didn't have to wait long to collect bag that evening and staff member wished us a safe journey home.Hotel is a short walk from Stratford Station but if you are feeling lazy you can hop onto a DLR to stratford high street which is even closer!! However if you do the latter note that trains run every 10 mins on that section and you could probably walk and be at the hotel before the train if you have just missed one.Would definitely come back in future",December 2019,5.0,77,not mentioned,5.0,5.0,-1,5.0,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Ilias A,Mr,"I just wanted to say a huge thank you for helping my wife 30th birthday to be so enjoyable. Visiting the hotel  for the second time this week was nice experience especially on Black Friday and the hotel was very busy.However still the food was absolutely delicious, all the staff were friendly Especially Mayra for helping me get in the right room and Hayate for the lovely breakfast and nice worming welcoming this morning.I will definitely be back to holiday inn westfield Stratford City agin.",November 2019,5.0,14,Traveled with family,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Lesley G,"Good location, great for the Olympic park","Easy walk from the train station. Rooms at the back of the hotel are very quiet. Great to have breakfast & wifi included in the price, makes it on par with other budget hotels, but this is better quality. Friendly & helpful staff. Breakfast was great - hot & cold buffet, bags & disposable cups for take out. Wifi was good, no problems. Good location for the Olympic park (we attended an event at the Velodrome which was an easy walk & the Orbit) & Westfield shopping centre (spent far too much here!!).",October 2019,5.0,143,not mentioned,-1,5.0,5.0,5.0,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,SBCTouristas,Very Impressed,"We were here for the London 6-Day race at the nearby velodrome and were impressed right from the start of our stay. Our welcome at reception (sorry can't remember the name but very pleasant young man) on arrival was brilliant and our room on the 5th floor in superb clean and bright condition. We are familiar with the Holiday Inn Express breakfast and it is the main reason we use this chain. It was just as we expected which, for us, means plenty of choice but just as much as you want i.e. not paying for masses of stuff you don't really want. The location was fine for us having researched beforehand the route to the nearest tube station at Stratford. This station served well all the areas we had intended to visit during our stay e.g. The Velodrome, Canary Wharf, O2, Emirates cable car, Thames pedestrian tunnel to Cutty Sark and Greenwich Observatory, the West End, Green Park, The Palace, and Westminster. We had worried before our arrival at what the atmosphere in Stratford would be like given the tragic stabbing a couple of weeks before, but we were actually surprised at how open and friendly local people we met were. The icing on the cake for us was finding that many of the riders and support staff for the race were also staying at the hotel and we actually met an old friend who we had not seen for many years who was working as mechanic to some of the riders. We also met the winner of the mens race, Elia Viviani and GB womens star Laura Kenny to cap an excellent stay.",October 2019,4.0,177,not mentioned,-1,-1,4.0,4.0,4.0,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Son_of_a_King,Great Value for Money,"I was here for one night having stayed at most of the hotels in the area. I must say from the get-go I did not have any major expectations being a 3 -star hotel. However, I left impressed with the good customer service on arrival and throughout. The front of house staff, bar staff and cleaners were friendly. I was given one of the newer rooms on the 5th floor which was cosey, clean, a little spacious and soundproof. There was some tea and coffee facilities, iron & ironing board and menu for room service. I ordered Takeaway for dinner but had the Hotel food for breakfast which came with the booking. It was Buffett style -  the standard English breakfast, cereals, hot drinks, juices and some fruits. It was quite busy (I came down half an hour before breakfast ended) so I took my food to consume in my room which tasted fine. The staff were very helpful during breakfast seeing to some visitors specific needs. The only thing I will note which was is not a major issue is that were only two lifts and it often took a couple of minutes to get one, but aside from that, my experience was great. For a 3-star place, this hotel offers great value for money considering the service, the comfort beds + pillows and warmth experienced. I will definitely return if prices are reasonable.",October 2019,5.0,12,not mentioned,5.0,4.0,-1,5.0,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,Kiwi_Barnes,Perfect base for work trip,"After a 36 hour journey from Sydney, the last thing I needed was a mess around. Unfortunately,  there are two Holiday Inn's in Stratford...make sure you're going to the correct one.Loved the room with a king size bed and the morning breakfast.Don't waste your time with the IGH awards - points system is a waste of time",October 2019,5.0,3,Traveled on business,-1,-1,-1,-1,-1,-1
Holiday Inn Express London Stratford,3.0,4.0,Very good,4.0,4.5,4.0,653AnnFrank,Good base,"We stayed here for one night as we were going to an event at the O2. The rooms are clean, quiet and comfy and a decent all you can eat buffet breakfast is included in the room rate. The hotel ok, is local to the Westfield Shopping Centre, and is about 10 minutes walk from a Jubilee line underground station. It's ok to use as a base, if you're visiting London.",October 2019,4.0,108,Traveled with friends,-1,-1,-1,-1,-1,-1
